artist_key,width_cm,height_cm,depth_cm,area_cm2,log_area,aspect_ratio,has_depth,is_3d_candidate,medium_category,support_category,medium_support_bucket,artist_works_log,is_extreme_aspect_ratio,is_training_candidate,_track6_row_id,artist_works_count_train
eun hye seo,15.0,20.0,1.7,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,0,275
eun hye seo,240.9,116.8,4.0,28137.12,10.244844980014951,2.0625,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,1,275
mihyun kim,45.5,45.5,3.0,2070.25,7.63542465191381,1.0,True,False,oil,canvas,oil__canvas,4.0943445622221,False,True,2,59
jooha sim,22.0,27.3,2.5,600.6,6.39792915554923,1.240909090909091,True,False,mixed_media,paper,mixed_media__paper,4.07753744390572,False,True,3,58
eun hye seo,41.0,53.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,4,275
eun hye seo,15.0,20.0,1.6,300.0,5.703782474656201,1.3333333333333333,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,6,275
eun hye seo,291.0,90.0,4.0,26190.0,10.173132937501755,3.2333333333333334,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,7,275
jooha sim,180.0,120.0,2.5,21600.0,9.980448593672255,1.5,True,False,mixed_media,canvas,mixed_media__canvas,4.07753744390572,False,True,8,58
baek hwa,40.6,63.5,2.0,2578.1,7.8548079725063324,1.564039408866995,True,False,acrylic,canvas,acrylic__canvas,1.9459101490553132,False,True,9,6
ro un lee,53.0,41.0,2.0,2173.0,7.683863980256429,1.2926829268292683,True,False,mixed_media,canvas,mixed_media__canvas,2.833213344056216,False,True,10,16
sojung kim,61.0,61.0,3.0,3721.0,8.221747728346623,1.0,True,False,mixed_media,fabric,mixed_media__fabric,4.382026634673881,False,True,11,79
jungwoo hong,18.0,20.0,0.1,360.0,5.886104031450156,1.1111111111111112,True,False,oil,paper,oil__paper,5.153291594497779,False,True,13,172
jungwoo hong,35.5,49.5,0.2,1757.25,7.4715053660560145,1.3943661971830985,True,False,oil,paper,oil__paper,5.153291594497779,False,True,15,172
rakeum rhee,74.0,142.0,4.0,10508.0,9.259892150805433,1.9189189189189189,True,False,mixed_media,paper,mixed_media__paper,2.3978952727983707,False,True,17,10
kyeonghoon oh,20.0,20.0,2.0,400.0,5.991464547107982,1.0,True,False,acrylic,panel,acrylic__panel,3.6375861597263857,False,True,18,37
marina lyu,65.0,90.9,5.0,5908.5,8.68414727107907,1.3984615384615386,True,False,mixed_media,canvas,mixed_media__canvas,1.791759469228055,False,True,19,5
eun hye seo,45.5,38.0,2.0,1729.0,7.455298485683291,1.1973684210526316,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,21,275
e eun seo,45.5,38.0,2.0,1729.0,7.455298485683291,1.1973684210526316,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,23,70
eun hye seo,73.0,100.0,4.0,7300.0,8.895629627136483,1.36986301369863,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,35,275
eun hye seo,20.0,40.0,4.5,800.0,6.684611727667927,2.0,True,False,mixed_media,canvas,mixed_media__canvas,5.62040086571715,False,True,36,275
hee ra kim,116.8,90.9,2.5,10617.12,9.27022307157756,1.2849284928492848,True,False,ink,linen,ink__linen,3.091042453358316,False,True,40,21
e eun seo,72.5,60.5,2.2,4386.25,8.386229926897425,1.1983471074380163,True,False,mixed_media,canvas,mixed_media__canvas,4.2626798770413155,False,True,41,70
suhyang seo,90.9,65.1,2.5,5917.59,8.685684550397957,1.3963133640552998,True,False,acrylic,linen,acrylic__linen,3.49650756146648,False,True,47,32
jiwon jang,72.7,90.9,2.5,6608.43,8.796101385722906,1.250343878954608,True,False,acrylic,linen,acrylic__linen,4.564348191467836,False,True,48,95
