split,column,check,count,severity,note
train,title_raw,title_missing_or_blank,1,review,모델 피처는 아니지만 중복/감사용 확인 필요
train,width,width_above_review_max,13,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
train,height,height_above_review_max,23,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
train,depth,depth_above_review_max,6,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
train,aspect_ratio,aspect_ratio_above_review_max,2,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
train,medium_category,unknown_or_blank_category,23,review,
train,support_category,unknown_or_blank_category,2213,review,
val_warm,support_category,unknown_or_blank_category,72,review,
test_warm,medium_category,unknown_or_blank_category,3,review,
test_warm,support_category,unknown_or_blank_category,53,review,
val_cold,height,height_above_review_max,1,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
val_cold,depth,depth_above_review_max,1,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
val_cold,aspect_ratio,aspect_ratio_above_review_max,1,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
val_cold,support_category,unknown_or_blank_category,117,review,
test_cold,width,width_above_review_max,1,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
test_cold,aspect_ratio,aspect_ratio_above_review_max,1,review,극단값 후보. 모델 제외가 아니라 slice 확인 대상
test_cold,support_category,unknown_or_blank_category,289,review,
